Measure_Type,Length,Weight,Species,Species_ID,Edible
Fork length,15,0.1,Blacktail (M&F),342,True
Fork length,16,0.1,Blacktail (M&F),342,True
Fork length,17,0.1,Blacktail (M&F),342,True
Fork length,18,0.1,Blacktail (M&F),342,True
Fork length,19,0.1,Blacktail (M&F),342,True
Fork length,20,0.1,Blacktail (M&F),342,True
Fork length,21,0.2,Blacktail (M&F),342,True
Fork length,22,0.2,Blacktail (M&F),342,True
Fork length,23,0.2,Blacktail (M&F),342,True
Fork length,24,0.2,Blacktail (M&F),342,True
Fork length,25,0.3,Blacktail (M&F),342,True
Fork length,26,0.3,Blacktail (M&F),342,True
Fork length,27,0.4,Blacktail (M&F),342,True
Fork length,28,0.4,Blacktail (M&F),342,True
Fork length,29,0.5,Blacktail (M&F),342,True
Fork length,30,0.5,Blacktail (M&F),342,True
Fork length,31,0.6,Blacktail (M&F),342,True
Fork length,32,0.7,Blacktail (M&F),342,True
Fork length,33,0.7,Blacktail (M&F),342,True
Fork length,34,0.8,Blacktail (M&F),342,True
Fork length,35,0.9,Blacktail (M&F),342,True
Fork length,36,1.0,Blacktail (M&F),342,True
Fork length,37,1.1,Blacktail (M&F),342,True
Fork length,38,1.2,Blacktail (M&F),342,True
Fork length,39,1.3,Blacktail (M&F),342,True
Fork length,40,1.4,Blacktail (M&F),342,True
Fork length,41,1.5,Blacktail (M&F),342,True
Fork length,42,1.7,Blacktail (M&F),342,True
Fork length,43,1.8,Blacktail (M&F),342,True
Fork length,44,2.0,Blacktail (M&F),342,True
Fork length,45,2.1,Blacktail (M&F),342,True
Fork length,46,2.3,Blacktail (M&F),342,True
Fork length,47,2.5,Blacktail (M&F),342,True
Fork length,48,2.7,Blacktail (M&F),342,True
Fork length,49,2.9,Blacktail (M&F),342,True
Fork length,50,3.1,Blacktail (M&F),342,True
Total length,25,0.2,Dusky kob (M&F),333,True
Total length,26,0.2,Dusky kob (M&F),333,True
Total length,27,0.2,Dusky kob (M&F),333,True
Total length,28,0.2,Dusky kob (M&F),333,True
Total length,29,0.2,Dusky kob (M&F),333,True
Total length,30,0.3,Dusky kob (M&F),333,True
Total length,31,0.3,Dusky kob (M&F),333,True
Total length,32,0.3,Dusky kob (M&F),333,True
Total length,33,0.4,Dusky kob (M&F),333,True
Total length,34,0.4,Dusky kob (M&F),333,True
Total length,35,0.4,Dusky kob (M&F),333,True
Total length,36,0.5,Dusky kob (M&F),333,True
Total length,37,0.5,Dusky kob (M&F),333,True
Total length,38,0.6,Dusky kob (M&F),333,True
Total length,39,0.6,Dusky kob (M&F),333,True
Total length,40,0.7,Dusky kob (M&F),333,True
Total length,41,0.7,Dusky kob (M&F),333,True
Total length,42,0.8,Dusky kob (M&F),333,True
Total length,43,0.8,Dusky kob (M&F),333,True
Total length,44,0.9,Dusky kob (M&F),333,True
Total length,45,0.9,Dusky kob (M&F),333,True
Total length,46,1.0,Dusky kob (M&F),333,True
Total length,47,1.1,Dusky kob (M&F),333,True
Total length,48,1.1,Dusky kob (M&F),333,True
Total length,49,1.2,Dusky kob (M&F),333,True
Total length,50,1.3,Dusky kob (M&F),333,True
Total length,51,1.4,Dusky kob (M&F),333,True
Total length,52,1.4,Dusky kob (M&F),333,True
Total length,53,1.5,Dusky kob (M&F),333,True
Total length,54,1.6,Dusky kob (M&F),333,True
Total length,55,1.7,Dusky kob (M&F),333,True
Total length,56,1.8,Dusky kob (M&F),333,True
Total length,57,1.9,Dusky kob (M&F),333,True
Total length,58,2.0,Dusky kob (M&F),333,True
Total length,59,2.1,Dusky kob (M&F),333,True
Total length,60,2.2,Dusky kob (M&F),333,True
Total length,61,2.3,Dusky kob (M&F),333,True
Total length,62,2.5,Dusky kob (M&F),333,True
Total length,63,2.6,Dusky kob (M&F),333,True
Total length,64,2.7,Dusky kob (M&F),333,True
Total length,65,2.8,Dusky kob (M&F),333,True
Total length,66,3.0,Dusky kob (M&F),333,True
Total length,67,3.1,Dusky kob (M&F),333,True
Total length,68,3.3,Dusky kob (M&F),333,True
Total length,69,3.4,Dusky kob (M&F),333,True
Total length,70,3.6,Dusky kob (M&F),333,True
Total length,71,3.7,Dusky kob (M&F),333,True
Total length,72,3.9,Dusky kob (M&F),333,True
Total length,73,4.1,Dusky kob (M&F),333,True
Total length,74,4.2,Dusky kob (M&F),333,True
Total length,75,4.4,Dusky kob (M&F),333,True
Total length,76,4.6,Dusky kob (M&F),333,True
Total length,77,4.8,Dusky kob (M&F),333,True
Total length,78,5.0,Dusky kob (M&F),333,True
Total length,79,5.2,Dusky kob (M&F),333,True
Total length,80,5.4,Dusky kob (M&F),333,True
Total length,81,5.6,Dusky kob (M&F),333,True
Total length,82,5.8,Dusky kob (M&F),333,True
Total length,83,6.0,Dusky kob (M&F),333,True
Total length,84,6.2,Dusky kob (M&F),333,True
Total length,85,6.4,Dusky kob (M&F),333,True
Total length,86,6.7,Dusky kob (M&F),333,True
Total length,87,6.9,Dusky kob (M&F),333,True
Total length,88,7.2,Dusky kob (M&F),333,True
Total length,89,7.4,Dusky kob (M&F),333,True
Total length,90,7.7,Dusky kob (M&F),333,True
Total length,91,7.9,Dusky kob (M&F),333,True
Total length,92,8.2,Dusky kob (M&F),333,True
Total length,93,8.5,Dusky kob (M&F),333,True
Total length,94,8.7,Dusky kob (M&F),333,True
Total length,95,9.0,Dusky kob (M&F),333,True
Total length,96,9.3,Dusky kob (M&F),333,True
Total length,97,9.6,Dusky kob (M&F),333,True
Total length,98,9.9,Dusky kob (M&F),333,True
Total length,99,10.2,Dusky kob (M&F),333,True
Total length,100,10.5,Dusky kob (M&F),333,True
Total length,101,10.9,Dusky kob (M&F),333,True
Total length,102,11.2,Dusky kob (M&F),333,True
Total length,103,11.5,Dusky kob (M&F),333,True
Total length,104,11.9,Dusky kob (M&F),333,True
Total length,105,12.2,Dusky kob (M&F),333,True
Total length,106,12.6,Dusky kob (M&F),333,True
Total length,107,13.0,Dusky kob (M&F),333,True
Total length,108,13.3,Dusky kob (M&F),333,True
Total length,109,13.7,Dusky kob (M&F),333,True
Total length,110,14.1,Dusky kob (M&F),333,True
Total length,111,14.5,Dusky kob (M&F),333,True
Total length,112,14.9,Dusky kob (M&F),333,True
Total length,113,15.3,Dusky kob (M&F),333,True
Total length,114,15.7,Dusky kob (M&F),333,True
Total length,115,16.1,Dusky kob (M&F),333,True
Total length,116,16.6,Dusky kob (M&F),333,True
Total length,117,17.0,Dusky kob (M&F),333,True
Total length,118,17.4,Dusky kob (M&F),333,True
Total length,119,17.9,Dusky kob (M&F),333,True
Total length,120,18.4,Dusky kob (M&F),333,True
Total length,121,18.8,Dusky kob (M&F),333,True
Total length,122,19.3,Dusky kob (M&F),333,True
Total length,123,19.8,Dusky kob (M&F),333,True
Total length,124,20.3,Dusky kob (M&F),333,True
Total length,125,20.8,Dusky kob (M&F),333,True
Total length,126,21.3,Dusky kob (M&F),333,True
Total length,127,21.8,Dusky kob (M&F),333,True
Total length,25,0.4,Galjoen (M&F),345,True
Total length,26,0.5,Galjoen (M&F),345,True
Total length,27,0.5,Galjoen (M&F),345,True
Total length,28,0.6,Galjoen (M&F),345,True
Total length,29,0.7,Galjoen (M&F),345,True
Total length,30,0.8,Galjoen (M&F),345,True
Total length,31,0.9,Galjoen (M&F),345,True
Total length,32,1.0,Galjoen (M&F),345,True
Total length,33,1.1,Galjoen (M&F),345,True
Total length,34,1.2,Galjoen (M&F),345,True
Total length,35,1.3,Galjoen (M&F),345,True
Total length,36,1.5,Galjoen (M&F),345,True
Total length,37,1.6,Galjoen (M&F),345,True
Total length,38,1.8,Galjoen (M&F),345,True
Total length,39,2.0,Galjoen (M&F),345,True
Total length,40,2.2,Galjoen (M&F),345,True
Total length,41,2.4,Galjoen (M&F),345,True
Total length,42,2.6,Galjoen (M&F),345,True
Total length,43,2.8,Galjoen (M&F),345,True
Total length,44,3.1,Galjoen (M&F),345,True
Total length,45,3.3,Galjoen (M&F),345,True
Total length,46,3.6,Galjoen (M&F),345,True
Total length,47,3.9,Galjoen (M&F),345,True
Total length,48,4.2,Galjoen (M&F),345,True
Total length,49,4.5,Galjoen (M&F),345,True
Total length,50,4.9,Galjoen (M&F),345,True
Total length,51,5.2,Galjoen (M&F),345,True
Total length,52,5.6,Galjoen (M&F),345,True
Total length,53,6.0,Galjoen (M&F),345,True
Total length,54,6.4,Galjoen (M&F),345,True
Total length,55,6.9,Galjoen (M&F),345,True
Total length,56,7.3,Galjoen (M&F),345,True
Total length,57,7.8,Galjoen (M&F),345,True
Total length,58,8.3,Galjoen (M&F),345,True
Total length,59,8.8,Galjoen (M&F),345,True
Total length,60,9.4,Galjoen (M&F),345,True
Fork length,30,0.2,Garrick (M&F),350,True
Fork length,31,0.3,Garrick (M&F),350,True
Fork length,32,0.3,Garrick (M&F),350,True
Fork length,33,0.4,Garrick (M&F),350,True
Fork length,34,0.4,Garrick (M&F),350,True
Fork length,35,0.5,Garrick (M&F),350,True
